id,name,category,subcategory,color,price,in_stock,stock_count,image_path,description,size_min,size_max
1,Classic Cotton T-Shirt,Apparel,Tops,White,499,True,81,data/synthetic/images/product_0001.jpg,White Classic Cotton T-Shirt — Tops,1.0,4.0
2,Classic Cotton T-Shirt,Apparel,Tops,Black,499,True,14,data/synthetic/images/product_0002.jpg,Black Classic Cotton T-Shirt — Tops,1.0,4.0
3,Classic Cotton T-Shirt,Apparel,Tops,Navy,499,False,0,data/synthetic/images/product_0003.jpg,Navy Classic Cotton T-Shirt — Tops,1.0,4.0
4,Slim Fit Chinos,Apparel,Bottoms,Beige,1299,True,3,data/synthetic/images/product_0004.jpg,Beige Slim Fit Chinos — Bottoms,0.0,4.0
5,Slim Fit Chinos,Apparel,Bottoms,Olive,1299,True,94,data/synthetic/images/product_0005.jpg,Olive Slim Fit Chinos — Bottoms,0.0,4.0
6,Slim Fit Chinos,Apparel,Bottoms,Grey,1299,True,35,data/synthetic/images/product_0006.jpg,Grey Slim Fit Chinos — Bottoms,0.0,4.0
7,Floral Summer Dress,Apparel,Dresses,Floral,1599,True,31,data/synthetic/images/product_0007.jpg,Floral Floral Summer Dress — Dresses,0.0,4.0
8,Linen Shirt,Apparel,Tops,Sky Blue,899,True,28,data/synthetic/images/product_0008.jpg,Sky Blue Linen Shirt — Tops,1.0,4.0
9,Linen Shirt,Apparel,Tops,White,899,True,17,data/synthetic/images/product_0009.jpg,White Linen Shirt — Tops,1.0,4.0
10,Denim Jacket,Apparel,Outerwear,Blue,2499,True,94,data/synthetic/images/product_0010.jpg,Blue Denim Jacket — Outerwear,1.0,4.0
11,Hoodie Sweatshirt,Apparel,Tops,Grey,1199,True,13,data/synthetic/images/product_0011.jpg,Grey Hoodie Sweatshirt — Tops,1.0,5.0
12,Formal Blazer,Apparel,Outerwear,Charcoal,3499,True,86,data/synthetic/images/product_0012.jpg,Charcoal Formal Blazer — Outerwear,1.0,4.0
13,Yoga Leggings,Apparel,Activewear,Black,799,True,94,data/synthetic/images/product_0013.jpg,Black Yoga Leggings — Activewear,0.0,4.0
14,Yoga Leggings,Apparel,Activewear,Purple,799,False,0,data/synthetic/images/product_0014.jpg,Purple Yoga Leggings — Activewear,0.0,4.0
15,Kurti Ethnic Wear,Apparel,Ethnic,Red,1099,True,69,data/synthetic/images/product_0015.jpg,Red Kurti Ethnic Wear — Ethnic,1.0,4.0
16,Polo Shirt,Apparel,Tops,Green,699,True,11,data/synthetic/images/product_0016.jpg,Green Polo Shirt — Tops,1.0,4.0
17,Cargo Shorts,Apparel,Bottoms,Khaki,899,True,75,data/synthetic/images/product_0017.jpg,Khaki Cargo Shorts — Bottoms,1.0,4.0
18,Winter Puffer Jacket,Apparel,Outerwear,Red,3999,True,54,data/synthetic/images/product_0018.jpg,Red Winter Puffer Jacket — Outerwear,1.0,5.0
19,Silk Evening Gown,Apparel,Dresses,Burgundy,4999,True,4,data/synthetic/images/product_0019.jpg,Burgundy Silk Evening Gown — Dresses,0.0,4.0
20,Cotton Pyjama Set,Apparel,Bottoms,Mint,899,True,3,data/synthetic/images/product_0020.jpg,Mint Cotton Pyjama Set — Bottoms,1.0,4.0
21,Casual Blazer,Apparel,Outerwear,Navy,2999,True,11,data/synthetic/images/product_0021.jpg,Navy Casual Blazer — Outerwear,1.0,4.0
22,Graphic T-Shirt,Apparel,Tops,White,599,True,27,data/synthetic/images/product_0022.jpg,White Graphic T-Shirt — Tops,1.0,4.0
23,Graphic T-Shirt,Apparel,Tops,Black,599,True,29,data/synthetic/images/product_0023.jpg,Black Graphic T-Shirt — Tops,1.0,4.0
24,Pleated Skirt,Apparel,Bottoms,Navy,1199,True,64,data/synthetic/images/product_0024.jpg,Navy Pleated Skirt — Bottoms,0.0,4.0
25,Denim Shorts,Apparel,Bottoms,Blue,699,True,77,data/synthetic/images/product_0025.jpg,Blue Denim Shorts — Bottoms,1.0,4.0
26,Striped Polo,Apparel,Tops,White,899,True,3,data/synthetic/images/product_0026.jpg,White Striped Polo — Tops,1.0,4.0
27,Striped Polo,Apparel,Tops,Navy,899,True,71,data/synthetic/images/product_0027.jpg,Navy Striped Polo — Tops,1.0,4.0
28,Summer Tank Top,Apparel,Tops,Coral,349,True,25,data/synthetic/images/product_0028.jpg,Coral Summer Tank Top — Tops,1.0,4.0
29,Cardigan Sweater,Apparel,Outerwear,Beige,1999,True,91,data/synthetic/images/product_0029.jpg,Beige Cardigan Sweater — Outerwear,1.0,4.0
30,Jogger Sweatpants,Apparel,Bottoms,Grey,999,True,83,data/synthetic/images/product_0030.jpg,Grey Jogger Sweatpants — Bottoms,1.0,4.0
31,Jogger Sweatpants,Apparel,Bottoms,Black,999,True,89,data/synthetic/images/product_0031.jpg,Black Jogger Sweatpants — Bottoms,1.0,4.0
32,Tunic Top,Apparel,Tops,Teal,799,True,69,data/synthetic/images/product_0032.jpg,Teal Tunic Top — Tops,1.0,4.0
33,Leather Jacket,Apparel,Outerwear,Black,5999,True,53,data/synthetic/images/product_0033.jpg,Black Leather Jacket — Outerwear,1.0,4.0
34,Denim Skirt,Apparel,Bottoms,Blue,999,True,28,data/synthetic/images/product_0034.jpg,Blue Denim Skirt — Bottoms,0.0,4.0
35,Linen Trousers,Apparel,Bottoms,Cream,1499,True,57,data/synthetic/images/product_0035.jpg,Cream Linen Trousers — Bottoms,1.0,4.0
36,Cropped Hoodie,Apparel,Tops,Pink,1299,True,75,data/synthetic/images/product_0036.jpg,Pink Cropped Hoodie — Tops,1.0,4.0
37,Slim Fit Chinos,Apparel,Bottoms,Navy,1299,True,35,data/synthetic/images/product_0037.jpg,Navy Slim Fit Chinos — Bottoms,0.0,4.0
38,Knit Sweater,Apparel,Tops,Burgundy,1599,True,0,data/synthetic/images/product_0038.jpg,Burgundy Knit Sweater — Tops,1.0,4.0
39,Knit Sweater,Apparel,Tops,Cream,1599,True,97,data/synthetic/images/product_0039.jpg,Cream Knit Sweater — Tops,1.0,4.0
40,Windbreaker Jacket,Apparel,Outerwear,Teal,2499,True,20,data/synthetic/images/product_0040.jpg,Teal Windbreaker Jacket — Outerwear,1.0,4.0
41,Running Sneakers,Footwear,Sports,White,2999,True,89,data/synthetic/images/product_0041.jpg,White Running Sneakers — Sports,6.0,12.0
